filename,run_number,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_resnet18_preupsample_run4_executed.ipynb,4,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,T2m (K),0.572,0.4464,0.0079,0.8309,0.7312,0.2178
sc1_resnet18_preupsample_run4_executed.ipynb,4,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0065,0.0033,-0.0007,0.8099,0.006,-0.0755
sc1_resnet18_preupsample_run5_executed.ipynb,5,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.0723,0.8121,-0.0464,0.89,1.1679,0.0818
sc1_resnet18_preupsample_run5_executed.ipynb,5,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.0598,0.807,0.046,0.8741,1.0916,0.0291
sc1_resnet18_preupsample_run5_executed.ipynb,5,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,T2m (K),0.5736,0.4472,0.0435,0.8308,0.7312,0.2156
sc1_resnet18_preupsample_run5_executed.ipynb,5,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0065,0.0033,-0.0008,0.8095,0.006,-0.078
sc1_resnet18_run1_executed.ipynb,1,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.3574,1.0416,-0.1304,0.8427,1.1679,-0.1623
sc1_resnet18_run1_executed.ipynb,1,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.3157,1.0086,0.1521,0.8231,1.0916,-0.2053
sc1_resnet18_run1_executed.ipynb,1,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,T2m (K),0.7433,0.5982,-0.0073,0.7612,0.7312,-0.0165
sc1_resnet18_run1_executed.ipynb,1,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0076,0.004,-0.0014,0.7328,0.006,-0.2738
sc1_resnet18_run2_executed.ipynb,2,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.3357,1.0268,0.04,0.8414,1.1679,-0.1437
sc1_resnet18_run2_executed.ipynb,2,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.2923,0.9945,-0.0279,0.8207,1.0916,-0.1839
sc1_resnet18_run2_executed.ipynb,2,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,T2m (K),0.7258,0.5797,0.0068,0.7578,0.7312,0.0075
sc1_resnet18_run2_executed.ipynb,2,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0078,0.0041,-0.0017,0.7246,0.006,-0.2938
sc1_resnet18_run3_executed.ipynb,3,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.3436,1.0304,0.0086,0.8431,1.1679,-0.1504
sc1_resnet18_run3_executed.ipynb,3,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.3051,1.001,0.0552,0.8234,1.0916,-0.1956
sc1_resnet18_run3_executed.ipynb,3,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,T2m (K),0.7344,0.5898,0.0267,0.7606,0.7312,-0.0044
sc1_resnet18_run3_executed.ipynb,3,scenario1-resnet18,no-preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0077,0.0041,-0.0014,0.7286,0.006,-0.2813
